0.37,0.36,0.27
0.45,0.33,0.22
0.50,0.32,0.18
0.50,0.32,0.18
0.49,0.32,0.19
0.49,0.32,0.19
0.49,0.32,0.19
0.49,0.32,0.19
0.49,0.32,0.19
0.49,0.32,0.19
0.49,0.32,0.19
0.49,0.32,0.19
0.48,0.33,0.19
0.48,0.33,0.19
0.49,0.32,0.19
0.49,0.32,0.19
0.48,0.33,0.19
0.46,0.33,0.21
0.45,0.33,0.22
0.48,0.33,0.19
0.49,0.32,0.18
0.49,0.32,0.18
0.49,0.32,0.19
0.49,0.32,0.19
0.50,0.32,0.18
0.47,0.33,0.20
0.47,0.33,0.20
0.50,0.32,0.18
0.50,0.32,0.18
0.45,0.33,0.21
0.47,0.33,0.20
0.48,0.33,0.19
0.49,0.32,0.18
0.49,0.32,0.18
0.49,0.32,0.19
0.48,0.33,0.19
0.47,0.33,0.20
0.49,0.32,0.18
0.47,0.33,0.20
0.47,0.33,0.20
0.50,0.32,0.18
0.49,0.32,0.18
0.50,0.32,0.18
0.47,0.33,0.20
0.47,0.33,0.20
0.49,0.32,0.19
0.49,0.32,0.19
0.50,0.32,0.18
0.46,0.33,0.21
0.45,0.33,0.21
