0.36,0.35,0.30
0.56,0.21,0.23
0.54,0.23,0.23
0.60,0.20,0.20
0.61,0.19,0.20
0.58,0.20,0.22
0.66,0.16,0.18
0.68,0.14,0.18
0.69,0.13,0.18
0.61,0.18,0.21
0.69,0.13,0.18
0.68,0.13,0.18
0.69,0.13,0.18
0.69,0.13,0.18
0.70,0.12,0.18
0.70,0.13,0.18
0.56,0.21,0.23
0.51,0.23,0.25
0.63,0.17,0.21
0.62,0.18,0.20
0.62,0.17,0.21
0.64,0.16,0.20
0.63,0.16,0.20
0.64,0.16,0.20
0.66,0.16,0.19
0.65,0.15,0.20
0.64,0.16,0.19
0.62,0.18,0.20
0.56,0.22,0.23
0.52,0.23,0.25
0.54,0.22,0.24
0.64,0.16,0.20
0.61,0.18,0.21
0.63,0.17,0.20
0.63,0.16,0.21
0.62,0.18,0.21
0.56,0.21,0.23
0.59,0.19,0.22
0.63,0.17,0.20
0.62,0.17,0.21
0.59,0.19,0.22
0.56,0.20,0.23
0.58,0.19,0.23
0.58,0.19,0.22
0.56,0.21,0.23
0.55,0.21,0.23
0.54,0.21,0.24
0.54,0.21,0.25
0.61,0.18,0.21
0.64,0.16,0.20
