0.34,0.37,0.30
0.32,0.36,0.32
0.21,0.34,0.45
0.19,0.34,0.47
0.17,0.34,0.49
0.16,0.34,0.50
0.17,0.34,0.48
0.17,0.34,0.49
0.15,0.35,0.50
0.16,0.34,0.50
0.16,0.34,0.50
0.16,0.35,0.50
0.16,0.35,0.50
0.17,0.34,0.50
0.16,0.34,0.49
0.16,0.34,0.49
0.17,0.34,0.49
0.17,0.34,0.49
0.17,0.34,0.49
0.17,0.34,0.49
0.17,0.34,0.49
0.17,0.34,0.48
0.17,0.34,0.49
0.16,0.34,0.50
0.16,0.35,0.50
0.16,0.34,0.50
0.24,0.34,0.42
0.22,0.34,0.43
0.20,0.35,0.45
0.20,0.34,0.46
0.19,0.34,0.47
0.16,0.34,0.50
0.15,0.35,0.50
0.18,0.34,0.48
0.19,0.34,0.46
0.21,0.36,0.43
0.21,0.36,0.43
0.17,0.34,0.49
0.16,0.34,0.50
0.15,0.35,0.50
0.15,0.35,0.50
0.15,0.35,0.50
0.19,0.36,0.46
0.24,0.36,0.40
0.27,0.36,0.37
0.22,0.35,0.43
0.18,0.34,0.47
0.15,0.35,0.50
0.15,0.35,0.50
0.15,0.34,0.50
