0.38,0.39,0.23
0.41,0.39,0.20
0.44,0.39,0.17
0.43,0.39,0.18
0.42,0.40,0.18
0.42,0.39,0.19
0.37,0.39,0.24
0.41,0.40,0.19
0.43,0.39,0.18
0.43,0.39,0.18
0.40,0.40,0.20
0.43,0.39,0.18
0.35,0.39,0.26
0.42,0.39,0.19
0.42,0.38,0.20
0.43,0.39,0.18
0.42,0.39,0.19
0.43,0.38,0.19
0.36,0.40,0.24
0.37,0.39,0.24
0.39,0.40,0.21
0.42,0.39,0.19
0.42,0.40,0.18
0.42,0.40,0.19
0.42,0.39,0.20
0.39,0.39,0.21
0.37,0.38,0.24
0.41,0.39,0.19
0.43,0.39,0.18
0.37,0.40,0.23
0.40,0.39,0.21
0.43,0.38,0.19
0.36,0.38,0.26
0.40,0.40,0.20
0.42,0.40,0.18
0.40,0.40,0.20
0.41,0.39,0.20
0.38,0.40,0.22
0.38,0.38,0.23
0.38,0.40,0.22
0.43,0.40,0.18
0.39,0.39,0.21
0.40,0.39,0.21
0.42,0.40,0.18
0.42,0.39,0.18
0.39,0.38,0.24
0.40,0.39,0.21
0.42,0.40,0.18
0.42,0.40,0.18
0.38,0.39,0.23
